prolificid,age,gender,lifesat_2,po_spectrum_scale_1,po_engaged_1,traits_1,traits_2,traits_3,traits_4,traits_5,traits_6,traits_7,traits_8,traits_9,traits_10,traits_11,traits_12,traits_13,traits_14,traits_15,traits_16,traits_17,traits_18,traits_19,traits_20,change_traits_5,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9,values_10,values_11,values_12,values_13,values_14,values_15,values_16,values_17,values_18,values_19,values_20,values_21,values_22,values_23,values_24,values_25,values_26,values_27,values_28,change_values_4,goals_1,goals_2,goals_3,goals_4,goals_5,goal_importance_1,goal_importance_2,goal_importance_3,goal_importance_4,goal_importance_5,goal_length_1,goal_length_2,goal_length_3,goal_length_4,goal_length_5,goal_likelihood_6mo_1,goal_likelihood_6mo_2,goal_likelihood_6mo_3,goal_likelihood_6mo_4,goal_likelihood_6mo_5,goal_likelihood_5yr_1,goal_likelihood_5yr_2,goal_likelihood_5yr_3,goal_likelihood_5yr_4,goal_likelihood_5yr_5,goal_likelihood_ever_1,goal_likelihood_ever_2,goal_likelihood_ever_3,goal_likelihood_ever_4,goal_likelihood_ever_5,change_goals_4,events_unrelated_1,events_unrelated_2,events_unrelated_3,unrelated_valence_1,unrelated_valence_2,unrelated_valence_3,unrelated_importance_1,unrelated_importance_2,unrelated_importance_3,unrelated_mem_1,unrelated_mem_2,unrelated_mem_3,events_related_1,events_related_2,events_related_3,related_valence_1,related_valence_2,related_valence_3,related_importance_1,related_importance_2,related_importance_3,related_mem_1,related_mem_2,related_mem_3
5dd9ebd239bca1962e17e64c,48,2,9,80,3,6,6,5,6,6,6,6,6,6,6,2,2,1,2,2,2,1,1,2,1,1,7,6,6,1,4,5,1,7,7,6,7,6,7,7,7,6,4,4,7,7,7,7,7,7,1,1,1,1,1,Get kids through high school an college,Look for long term employment,Pay off mortgage,Save money for retirement,Consider whereto live in the future,7,6,7,6,7,15,5,10,10 ,10,1,2,1,1,2,5,5,4,4,6,7,7,6,6,6,1,Working temp job,Daughter has new boyfriend,Husband dropped from civil lawsuit,91,80,100,6,5,7,7,7,7,Looking over ballot,Working with family on voting quesions,thinking of getting yard signs,100,100,90,7,7,6,6,6,5
5dd405ab80123f3eaae9af80,60,2,8,0,9,3,6,7,7,6,7,7,3,7,6,1,1,3,4,2,1,2,1,1,2,1,7,1,1,4,1,7,7,1,1,1,1,1,1,1,1,1,3,7,1,1,1,1,1,1,7,1,7,7,1,Pay off Debt,Improve Artwork,Stay Healthy,Be there for my children,Be a compassionate person,7,5,7,7,7,2 years,lifelong,lifelong,38 years,20 years,2,6,6,6,5,7,7,5,7,6,7,5,4,7,5,1,My artwork has sold well,I devoted a lot of time to producing art,I paid off one debt,100,95,100,7,6,7,7,7,7,I have blocked people on Facebook,I voted,I am exasperated with some people,16,100,14,2,7,2,7,7,6
58c376f9efb64f0001358464,45,2,8,100,9,5,7,4,7,7,7,7,5,7,5,1,1,1,3,1,1,1,1,1,1,1,1,1,7,1,7,2,1,1,1,1,5,1,1,1,7,1,4,1,7,7,7,1,1,4,7,3,1,2,1,Build my buisness,Find a new home,Save money,Go on vacay,Redo my bedroom ,7,7,7,5,5,1 year,1 year,6 months,6 months,1 month,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,Read a new book,Subscribed to a beauty box,Ordered doordash,100,100,100,4,4,4,5,5,5,The president got covid,The president campaigns ,The president refuses to wear masks ,50,51,0,1,7,7,7,5,7
5d89487b241e9c0015e25844,31,2,9,25,8,5,6,5,5,4,5,5,4,5,6,6,3,2,4,5,4,2,4,2,4,1,7,4,4,4,2,6,7,7,7,6,7,4,7,7,6,4,4,6,6,6,5,5,3,5,5,3,1,2,1,Buy a house,Do better in my career,Have a child,Get a dog,Lose weight,6,7,5,2,4,1 year,7 years,2 months,6 months,All my life!,4,5,1,2,5,7,7,7,4,4,7,7,7,5,4,1,Hiking,Reading books,Mom's birthday,80,80,90,3,3,6,5,5,7,Watching debates,Talking to my husband,Talking to my mom,20,50,50,5,6,6,7,3,3
5d6fbd3f9ba41b0018d20082,59,1,7,0,10,4,6,5,5,5,5,4,2,6,5,2,2,2,1,4,4,3,2,1,3,1,6,7,7,6,7,6,6,7,7,4,6,6,6,7,6,5,4,6,7,5,5,6,6,5,6,6,4,7,1,more stable income,better photogaphy,write,record,travel,7,6,4,4,7,20years,6 month,20 years,1 year,1 year,5,6,3,5,6,6,6,5,5,7,6,6,5,6,7,1,injure knee,played golf,went to son's house for movie,10,79,79,5,4,5,6,3,5,Trump sick,Debates cancelled,weird competing townhalls,49,18,27,5,5,6,5,5,5
5e1fa30b3285b12ce6e39fb7,45,1,7,77,7,6,5,3,6,5,6,5,6,6,5,2,1,2,2,3,3,3,2,2,3,3,1,2,3,1,1,1,3,1,1,1,1,1,1,1,4,4,1,1,4,5,4,1,1,2,1,1,2,1,3,be more successful,have a child,travel more,find a new house,learn more,6,4,4,6,7,2 years,5 years,10 years,2 years,1 year,6,2,4,5,7,7,4,6,7,7,7,2,7,7,7,2,started taking online classes,looking for a new house,looking for a new job,99,92,98,7,7,7,7,7,7,watching debates,discussions,arguments,82,83,33,6,4,4,6,3,2
58ac91c38bf22a00015b91b3,53,1,1,5,5,4,6,5,5,4,5,4,2,5,4,2,2,3,1,3,2,1,3,2,2,1,6,3,3,2,1,7,7,4,4,1,4,2,1,4,1,4,4,4,4,3,1,1,1,2,7,2,7,2,1,learn javascript,learn how to play a guitar,visit New Zealand,Manage to finish reading James Joyce's Ulysses,Successfully grow a dewy pine,5,3,4,2,5,4 years,10 years,5 years,15 years,4 years,1,1,1,1,5,3,2,1,1,7,4,1,2,2,7,1,My betta fish died,I finished playing Titan Quest,I bought a new phone,9,82,71,2,3,5,7,7,7,I voted by mail,I watched a presidential debate,I signed a petition,82,0,50,7,2,2,7,4,2
5dc1cd625fd2031344dfe43d,58,1,1,23,4,5,6,3,7,6,5,6,1,6,5,2,1,1,6,2,1,2,6,1,2,2,1,7,7,1,1,1,7,2,1,6,1,2,1,1,1,4,1,1,1,2,2,1,1,1,4,1,2,5,3,make it through december,stay married ,see things more positive,,,6,7,5,,,3 month,10 years,2 years,,,6,5,4,,,6,5,5,,,6,5,6,,,3,wife wants to get separated,virus thread is getting worse ,daily mood is getting worse,0,4,10,7,4,5,7,3,2,watching debate in disbelief ,being concerned about the outcome of the election,being concerned what trump will do if he loses ,0,20,40,7,6,6,7,5,5
5e0696dea7fba607951ae479,35,1,7,50,7,5,6,7,5,6,7,7,4,5,7,1,1,1,4,1,1,1,3,2,2,4,1,1,4,2,1,1,7,1,1,1,1,1,1,1,6,4,1,4,1,6,1,1,1,1,1,1,1,1,4,To make it to the kingdom of God of Israel,work full time online,live in peace,Have freedom ,be my own boss,7,6,7,6,6,35 years,15 years,10 years,10 years,15 years,4,7,7,7,7,4,7,7,7,7,7,7,7,7,7,1,Played basketball at a park,Donated clothes,donated shoes,95,100,99,6,7,7,7,7,7,Watched the debate with trump and biden,watched the debate with harris and pence,watched trump and biden last night,71,60,64,4,4,4,7,7,7
5cf3f7364bcc6400019d71fa,63,2,10,50,9,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,7,7,4,1,1,4,4,1,1,1,1,1,1,1,2,3,1,3,7,7,5,1,1,1,4,7,4,4,1,save,travel,new car,gardening,making will,7,7,6,7,4,45,45,5,40,1,6,2,2,7,3,7,7,7,7,7,7,7,7,7,7,1,gardening,painting,shopping online,100,100,100,7,6,5,7,7,6,visting town my today,debate,president getting virus,100,76,0,7,5,7,7,5,7
5e16c978783225c8108ef055,59,1,7,97,10,4,5,3,6,7,4,4,4,7,7,1,1,2,3,6,2,2,1,1,2,1,7,7,6,7,1,1,7,7,7,1,7,2,7,6,7,7,1,2,7,6,7,7,7,7,1,7,1,7,1,Not get infected by COVID,Get healthy,Travel again,Make more money,Live to at least age 70,7,7,6,5,7,7 months,5 years,7 Months,20 years,5 years,5,5,6,5,1,6,7,7,7,1,6,6,7,7,3,1,Medical treatment,My Birthday,Buying a new car,95,100,100,7,3,5,7,6,7,Watching the debates,Voted by mail,Donated to Trump,40,100,83,5,7,4,7,7,7
5dcea7314d51e4107516c80d,52,2,4,10,9,2,7,7,7,7,5,5,2,7,5,1,1,1,1,2,2,2,1,1,1,1,7,7,4,4,1,7,7,7,7,6,7,7,7,7,1,4,1,2,7,3,1,5,4,7,7,6,5,5,1,Prepare an already written book of poetry for publication,Start another book of poetry,Get more fit,Spend less time online,,7,7,6,4,,6 months,1 molnth,5 months,6 months,,7,7,5,6,,7,7,6,4,,7,7,5,5,,1,Mourned the death of my sister,Communicated a lot with my niece,Tried a new wine,0,70,60,7,7,1,7,7,4,Posted anti-Trump messages on Facebook,Followed The Lincoln Project on Twitter,Screamed at the TV when that moron Trump was featued,50,80,10,2,2,1,5,6,7
5b9efb73d1ff7a00013bfe84,53,2,0,0,3,3,5,4,5,1,1,2,1,2,5,7,5,6,7,7,7,7,5,5,7,1,6,1,1,7,1,7,7,1,1,1,1,1,1,1,1,1,1,7,1,1,1,2,6,1,7,4,2,4,1,outlive my mother,lose weight,pledge to wfmu,get a haircut,make a cake,7,4,7,7,2,53 years,3 years,3 weeks,1 month,1 week,4,1,7,7,4,5,3,7,7,4,5,3,7,7,4,1,got a flu shot,someone I know had a baby,celebrated my birthday,50,15,25,4,4,1,4,7,6,i voted,i watched the only presidential debate,i watched the only vice presidential debate,30,15,5,4,1,1,7,6,2
5e1fa60088eb2e2d97c4a4a7,49,2,6,17,8,3,6,5,5,5,7,6,3,6,7,2,1,1,3,3,3,1,2,2,3,1,7,6,5,5,1,2,5,7,6,5,4,4,5,6,1,2,2,6,5,5,3,2,2,4,5,1,5,4,1,Save enough money for a comfortable retirement.,Make my elderly mom's remaining years happy.,Continue to work on myself to be kinder and more giving to others.,Volunteer and help others.,Travel and see the world.,7,7,7,6,6,10 years,5 years,20 years,2 years,10 years,1,6,5,2,1,6,6,6,6,6,7,6,6,6,6,1,I have adopted a puppy.,I met up with friends I haven't seen since March.,I have begun to meditate.,92,95,83,6,5,6,7,7,7,I sent in my mail in ballot.,I donated to Joe Biden.,I watched the 1st debate and laughed at Trump.,94,82,89,7,5,3,7,7,7
5e121701dc79bd8a1a22ca99,50,2,7,89,8,3,6,5,7,6,5,7,3,6,6,1,1,1,2,1,2,1,3,1,1,1,2,3,1,1,5,1,7,1,1,1,1,1,1,1,3,6,7,2,6,7,7,1,1,6,6,3,5,1,1,Save more,Spend more time with family,Spend more time with friends,Get more organized,Have more fun,6,7,7,6,6,10 years,five years,five years,two years,one year,6,7,,6,6,7,7,7,6,7,7,7,7,6,7,2,Horse passed away,took a trip to Sedona,Hiked Pinnacle Peak mountain,0,95,92,5,6,5,7,7,6,Watched the debate,Watched Trump's townhall,watched Biden's townhall,40,44,41,5,5,5,3,4,4
5b0c65c11e55760001b96e90,47,2,5,50,2,1,6,6,6,5,6,6,1,6,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,paint the bedroom,buy a lamp,clean the pool,cook dinner,mow the lawn,4,3,4,5,4,1,1,1,1,1,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,cleaned the patio,vacuumed the floor,bought a blanket,100,100,100,5,5,5,5,5,7,watched the debates 1,watched the debates 2,watch TV about election,50,50,50,4,4,4,5,5,4
5c50c73cecd461000198fea1,28,1,9,80,7,6,6,5,6,7,6,4,3,7,7,2,1,3,1,4,1,4,2,1,1,1,2,4,7,6,1,2,6,6,6,7,5,1,5,5,3,6,2,2,2,2,1,5,3,4,2,4,5,2,1,Buy more property,Travel some more of the world,Save more of my salary,Learn how to invest better,Buy a second car for fun rather than commuting as a hobby,7,7,7,5,3,3 Years,6 Years,1 Year,1 Year,1 Year,1,1,7,6,1,6,6,7,7,3,7,7,7,7,7,1,I saw my family for the first time in a while due to the pandemic,I invested into a video game set up for my own leisure,I got some new assignments at work,90,85,85,7,2,5,7,5,5,I made sure to check than I am registered to vote,I started getting much more involved in the candidates and learning about the views they have,Lots of time spent watching debates and town halls and interviews,90,70,60,7,7,7,7,7,7
5858b2ca83a02d0001e38fd2,42,1,8,45,5,4,5,4,5,5,5,5,5,5,5,3,3,3,4,4,4,3,3,3,3,1,1,4,1,3,2,2,5,2,2,2,3,2,1,2,3,4,1,2,4,2,6,1,2,2,2,2,4,2,2,save more money,be more present,take more time off,get into better shape,break world records,6,5,6,6,6,16 years,2 years,10 years,10 years,2 years,4,4,4,4,5,5,5,5,5,5,4,5,5,5,4,2,covid and shit,kids went back to school,some things started to come back into my life,10,90,89,2,7,7,6,6,6,covid and shit again!,arguments with friends,arguments at work,17,16,12,5,3,3,6,7,7
5c509cad3e4c8400010ac228,36,1,10,80,8,7,5,7,7,7,7,7,7,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,4,7,1,1,1,1,1,1,1,7,7,5,4,5,7,7,1,1,7,1,1,4,1,1,Lose weight,Finish college,Buy a house,Get married ,Have children,7,7,7,7,7,3 months,15 years,10 years,2 years,2 years,7,2,2,2,2,7,7,7,7,7,7,7,7,7,7,1,I got COVID-19,I went to visit my girlfriend's mother,I jammed with my old bandmates,0,100,100,7,7,7,7,7,7,I watched the debates,I talked about the elections with my girlfriend,I saw campaign signs in my neighborhood,0,90,50,1,5,4,5,6,4
59f226a9d6380600018b2923,56,2,7,76,5,4,4,4,6,5,5,6,6,6,4,2,1,1,2,1,1,1,1,1,1,1,6,3,6,2,2,2,2,5,6,6,6,6,4,3,5,6,2,4,6,7,6,4,5,6,3,6,2,4,1,losing weight,becoming financially independent,working out at least 5 days a week,eating healthy,practice meditation daily,5,6,5,6,5,3 months,1 year,6 months,3 months,1 month,4,2,3,5,5,7,5,5,6,6,7,6,6,7,7,2,had the house painted,went to the casino,visited my brother ,50,92,92,4,3,5,6,7,7,watched the debate,watched the town hall with Trump and Biden,received my voting ballet in the mail ,72,60,80,4,4,6,7,7,7
5c4c7a1a9446be00017e6b4a,44,2,5,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1,7,7,4,1,1,1,1,4,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,living another country,visting another country,meeting my descendants,completing my family tree,losing weights,7,7,7,7,7,4,6,15,15,5,1,1,2,6,3,1,1,1,1,1,1,1,1,2,1,1,my dog has tumors,loss of hair,muscle and joint extreme pains,0,0,0,7,7,7,7,7,7,none,none,none,51,51,50,1,1,1,1,1,1
5de970024172e2000c9dacd2,61,1,5,0,8,5,6,6,7,5,6,6,5,7,4,3,3,2,1,2,2,1,2,4,3,2,1,6,4,4,1,6,6,6,7,6,6,4,4,7,1,2,1,4,6,1,4,4,4,1,5,4,7,5,1,New car,New phone,New tablet,Be vegetarian,Be more active,2,2,2,4,4,1 year,2 months,2 months,a week,three weeks,1,1,4,6,6,7,7,7,6,6,7,7,7,6,6,1,Stomach sickness,I went to the pharmacy,I ordered groceries through Instacart,0,95,100,7,7,6,7,2,2,Watched Presidential debate,Watched Vice-Presidential debate,Voted,30,66,100,1,1,7,7,7,7
5d75af57bcfd5b001b192708,65,2,8,10,9,7,6,6,6,7,6,7,7,6,5,1,1,1,3,1,1,1,1,1,1,2,6,5,1,1,2,5,7,1,1,1,1,1,1,1,6,5,2,4,5,6,5,1,1,2,6,6,5,6,1,getting out of debt,traveling,,,,7,7,,,,1 year,1year,,,,5,6,,,,7,7,,,,7,7,,,,1,my father died,i helped clean out a house,I spent time in my home town,0,10,77,7,7,7,7,7,7,answered political questions,checked to make sure i was registered to vote,found polling place,100,100,100,7,7,7,6,6,7
57509d9b363e77000695620b,67,2,8,10,8,4,6,7,7,7,6,6,6,7,6,1,1,2,3,1,2,1,1,1,1,1,4,4,7,4,4,4,7,7,7,7,7,7,7,7,4,6,5,7,6,7,7,6,6,7,7,5,7,5,1,Finish my Christmas projects,Getting house work done each day,"Eating properly, more healthy",Losing weight,exercising more,7,4,6,7,6,2 months,1 year,5 years,5 years,5 years,7,7,6,6,6,7,6,6,6,6,7,6,6,6,6,1,Kitchen counters installed,granddaughter spent 4 days,Went to the dr.,100,100,50,7,7,5,7,7,7,I voted,I gained more Twitter followers,I watched the debates,100,50,50,7,2,4,7,1,7
5e0d256753e8464d64940925,53,2,8,0,10,5,6,4,6,6,5,6,5,6,6,1,1,1,5,2,2,2,2,2,4,1,4,1,2,1,1,1,7,5,3,1,2,2,3,4,1,1,1,1,1,1,1,2,2,6,7,1,1,7,1,making sure my daughters graduate from college,ensuring the future happiness of my daughters,traveling with my daughters,taking care of my family,living a comfortable life,7,7,7,7,6,20 years,20 years,20 years,20 years,50 years,1,1,1,7,5,7,4,6,7,6,7,7,7,7,6,1,my daughters moved into an apartment in their college town,I cleaned lots of extra stuff out of the house,I learned exercises to help the pain in my back,80,100,90,6,6,7,7,4,7,I submitted my ballot for the 2020 election,I helped my daughters complete their ballots,I feel good about what the results of the election will be,100,100,100,7,7,7,7,7,7
5e206c982d3875371ce68220,46,1,5,82,10,6,4,5,7,4,7,7,4,7,2,4,1,3,1,4,4,4,4,1,4,1,7,7,7,7,1,1,4,7,7,1,7,7,7,7,4,7,2,1,1,7,7,7,7,7,1,1,1,7,1,Buy a House,Get a Luxury Car,Get Married,Make More Friends,Lose Weight,4,5,4,7,7,20 years,10 years,20 years,5 years,30 years,1,1,1,4,4,2,3,2,5,5,5,5,4,7,7,1,Chipped a tooth,Got into a car accident,Bought a treadmill,0,0,100,7,7,7,7,7,7,Found out Trump got the Coronavirus,Found out Biden may be receiving kickbacks of 50% on all children’s business deals,Found out virtual Presidential debate was cancelled,1,0,50,4,7,1,7,7,7
5e0e32ee1d4607573dc85b1f,39,2,6,45,2,7,7,7,5,6,7,7,6,7,7,2,1,1,3,2,3,3,2,1,2,1,4,4,1,2,4,1,4,7,7,3,4,4,7,7,2,5,7,7,4,7,7,5,1,2,2,1,1,2,2,finish my counseling internship,get my master's degree,move to Austin ,buy a house ,continue working on myself to improve and grow as a person and as a mother ,7,7,7,7,7,2 years ,1 year ,1 year ,5 years ,5 years ,1,1,1,1,1,7,4,6,6,7,7,7,7,7,7,1,I finished my counseling practicum,I've been seeing a new man ,I started lifting weights,100,70,100,7,5,6,7,7,7,My favorite tv shows were interrupted because presidential debates etc. were broadcast live,I was involved in a big political discussion that turned into an argument among my friends over who to vote for ,There are constant discussions about the election where good conversation used to be,0,20,44,1,1,1,7,7,5
5d9373b0e04970001ab482da,60,2,8,5,9,5,7,7,6,6,7,6,6,7,5,2,1,1,2,4,2,3,1,1,1,1,7,7,4,5,6,6,7,7,6,7,6,6,7,7,4,6,6,7,4,4,5,7,6,5,2,7,6,2,1,Becoming really good at drawing and painting,Getting more involved in my community,Doing more to protect the environment,,,7,6,7,,,10 years,5 years,15 years,,,3,5,6,,,6,7,7,,,7,7,7,,,1,I harvested a ton of peaches and apricots from the trees in my yard.,I went out for brunch with friends.,I moderated a volunteer meeting at work.,100,100,100,6,4,4,7,7,7,I watched the first presidential debate.,I watched the vice-president candidates debate.,I had an intense political discussion with my in-laws.,17,36,21,5,5,3,7,7,7
5dcef23382a527033b089d39,55,2,8,15,8,3,4,6,6,6,6,5,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,Helping my daughter's business thrive.,Expanding my hobbies.,Traveling more.,Helping my son buy his first home.,Rescuing more animals.,7,4,5,7,6,Recently,Recently,Always,Recently,Recently,7,4,1,1,2,7,6,5,5,7,7,7,7,7,7,1,Helping my daughter with her new LLC.,Remediation of water damage in my home.,My son-in-law finishing up his immigration requirements for his Green Card.,90,50,100,7,7,7,7,7,7,Keeping up with current politics.,Encouraging people to vote.,,80,80,50,7,7,4,7,7,4
