prolificid,events_concat_pre,events_concat_post1,events_concat_post2,events_concat_post3,post1_pre,post2_pre,post3_pre,post2_post1,post3_post1,post3_post2
5d89487b241e9c0015e25844,Hiking Reading books Mom's birthday,Going on a walk Taking a test Participating in fellowship events with my fraternity,only leave home for essentials wear mask wash hands often,watched election posted on social media watched final season of Vikings,0.2543236017227173,-0.037156153470277786,-0.012382391840219498,0.07003797590732574,0.071045882999897,-0.05654674023389816
5d6fbd3f9ba41b0018d20082,injure knee played golf went to son's house for movie,voted by mail. son started school in person. finally took a vacation from work,went to work went for a hike got groceries,had a 3 people Thanksgiving Had a 3 people Christmas Had a 2 people New Year,0.18531830608844757,0.17265276610851288,0.11261092126369476,0.28174906969070435,0.18795675039291382,0.28817468881607056
5e1fa30b3285b12ce6e39fb7,started taking online classes looking for a new house looking for a new job,Voted in the election Carved pumpkins for Halloween Exercised,coached my daughter's basketball team redisgned a room ate better,Moved to Oregon Bought a car Finished my annual report,0.029067926108837128,0.14527907967567444,0.19523985683918,0.12408279627561569,0.032611094415187836,0.08909338712692261
58ac91c38bf22a00015b91b3,My betta fish died I finished playing Titan Quest I bought a new phone,went to the doctor medical tests put on medication,"Happy hour with friends restrung some pearls Watched ""The Crown""",prepared Thanksgiving dinner company Christmas lunch took a road trip,0.18670234084129333,0.18846732378005981,0.010908066295087337,0.07351414114236832,0.01976163126528263,0.07764120399951935
5dc1cd625fd2031344dfe43d,wife wants to get separated virus thread is getting worse  daily mood is getting worse,Played first Call of Cthulhu game in decades Got extra money from clinical trial Made plans to see Alex,I voted I helped with chores around the house nothing else,celebrated my birthday Yay! teaching my son to drive Nay! bonding with my family,0.0509953573346138,0.09576337784528732,0.049416761845350266,0.05590219795703888,-0.03662983700633049,0.3602471351623535
5e0696dea7fba607951ae479,Played basketball at a park Donated clothes donated shoes,Voted in the 2020 Presidential Election Deleted social media,Cleaned the gutters Caught all the goldfish in the pond Finished reading a book,replaced destroyed equipment almost died met new people,0.11819718778133392,0.07617073506116867,0.15683896839618683,0.05153552442789078,0.1298607736825943,0.08473168313503265
5cf3f7364bcc6400019d71fa,gardening painting shopping online,Helped my nephews move Celebrated my son's 25th Birthday Voted in the election,Sold a car got a flu shot cleaned up the garden,Close friend had 2nd brother die within 5 months. Close family member arrested Distant family member diagnosed with Covid-19,-0.04971902444958687,0.25738993287086487,-0.09119893610477448,0.11226178705692291,0.20685552060604095,0.20974907279014587
5e16c978783225c8108ef055,Medical treatment My Birthday Buying a new car,I went to listen to music I bought some new tires I did some mystery shopping,Went to dine out with my girlfriend Ran for 3 minutes without waliking lost 2 pounds,I took finals I went to work I assumed a leadership position in my fraternity,0.3106277585029602,0.21698704361915588,-0.004167893901467323,0.3128257393836975,0.17822246253490448,0.15857036411762238
5dcea7314d51e4107516c80d,Mourned the death of my sister Communicated a lot with my niece Tried a new wine,I put up my fall holiday tree I made a pulmonary doctor appt I had lunch with my bestie,toilet backed up nieghbors son died car flat tire,purchased furniture visited friends Christmas,0.39971038699150085,0.25010040402412415,0.25529927015304565,0.24308660626411438,0.3128833770751953,0.108772411942482
5b9efb73d1ff7a00013bfe84,got a flu shot someone I know had a baby celebrated my birthday,Went to Walmart Zoomed church voted,grocery shopping online a virtual birthday party with my grandaughter decorating for the holidays,contributed food to the community refrigerator and cabinet got a negative covid test started new vitamins,0.22475594282150269,0.3045406937599182,0.2897414267063141,0.1921260505914688,0.16494199633598328,0.07686703652143478
5e1fa60088eb2e2d97c4a4a7,I have adopted a puppy. I met up with friends I haven't seen since March. I have begun to meditate.,went to the casino visited my family went out with my friend,HOA Board of Directors Meeting Picnic in park with 4 family members Trips to Bank to do HOA business,Helping my daughter who is stuck in Canada Celebrating the holidays with just me and my husband and the dog Remaining in self isolation,0.22962959110736847,0.03908798471093178,0.33344364166259766,0.24234811961650848,0.19390788674354553,0.2635059654712677
5e121701dc79bd8a1a22ca99,Horse passed away took a trip to Sedona Hiked Pinnacle Peak mountain,Traveled out of state Got a medical procedure done Attended Halloween party,Had to take spouse to doctor twice. Cleaned out the gutters. Nothing. My life is very quiet.,visited my brother went grocery shopping visited my boyfriend's day in a nursing home,0.13773784041404724,0.03720525652170181,0.13836485147476196,0.21630766987800598,0.26999086141586304,0.32294636964797974
5b0c65c11e55760001b96e90,cleaned the patio vacuumed the floor bought a blanket,I volunteered for the Trump campaign I contacted a support group regarding a medical issue I work out at Planet Fitness,Tech and apps research project driving to visit son in college went for a walk,Tutoring  reading  exercising,0.16832314431667328,0.03519424423575401,0.06027507036924362,0.21306335926055908,0.13152989745140076,0.17157822847366333
5c50c73cecd461000198fea1,I saw my family for the first time in a while due to the pandemic I invested into a video game set up for my own leisure I got some new assignments at work,had a birthday party visited kids in Texas voted,Went grocery shopping Picked up prescriptions Groomed my Golden Retriever,my grandson was born I got my LCDC intern registration approved by the state  My friend's husband died,0.1492733657360077,0.09032977372407913,0.20979487895965576,0.15780982375144958,0.33460694551467896,0.12584784626960754
5858b2ca83a02d0001e38fd2,covid and shit kids went back to school some things started to come back into my life,voted doctor visit political rally,birthhday party went to walmart played a game,refianced home loan family members contracted COVID stayed home for holidays,0.12568975985050201,0.23149406909942627,0.30497050285339355,0.14744284749031067,0.03928838670253754,0.04492821544408798
5c509cad3e4c8400010ac228,I got COVID-19 I went to visit my girlfriend's mother I jammed with my old bandmates,We took great family pictures at the beach My daughters' apartment is furnished and decorated and pretty great. I visited with my sister and her kids.,Self-quarantine work stress due to work overload sleeping less than usual,laid in bed and watched coverage of magabowl all day yesterday zoom new years zoom xmas,0.21258094906806946,0.14644989371299744,0.24370445311069489,-0.023137066513299942,0.26798319816589355,0.13632623851299286
59f226a9d6380600018b2923,had the house painted went to the casino visited my brother ,"Got to watch some tennis Woke up, got out of bed, dragged a comb... Went downstairs and had a cup...",family over for football cookout with family before winter road trip to Nueskes smoked meats.,Watched the Masked Singer Went grocery shopping. Spent time with my beautiful grandson.,0.26437604427337646,0.2274003028869629,0.40314996242523193,0.11188763380050659,0.3340284824371338,0.22042283415794373
5c4c7a1a9446be00017e6b4a,my dog has tumors loss of hair muscle and joint extreme pains,virtual race taught a zoom class hiked a mountain,I attended my son's blackbelt test. I participated in a birthday party for a family member. I was offered a good paying job that I had to turn down because my internet is too slow.,Celebrated Thanksgiving at home with my wife Celebrated Christmas at home with my wife and with friends and family via Facetime Celebrated New Years,-0.06928586959838867,0.0030990391969680786,0.004687909968197346,0.25382333993911743,-0.041188016533851624,0.18459269404411316
5de970024172e2000c9dacd2,Stomach sickness I went to the pharmacy I ordered groceries through Instacart,I voted continued therapy got another of my poems published,installed a ceiling fan on my patio took my cats to the vet helped my dad with landscaping,granddaughter's birthday party trip to Texas lunch out with friends,0.008433941751718521,-0.045037951320409775,0.11882326006889343,0.20761112868785858,0.003535030409693718,0.05979093164205551
5d75af57bcfd5b001b192708,my father died i helped clean out a house I spent time in my home town,I voted. I schedule my cat for dental work. I bought a breadmaker.,In person game night wtih Alex and Shobi Helped Shobi move into his new apt started growing my nails out,Group prayer,0.25459009408950806,0.16154681146144867,0.07631883025169373,0.11509887874126434,0.06076694652438164,0.1360912322998047
57509d9b363e77000695620b,Kitchen counters installed granddaughter spent 4 days Went to the dr.,Went into a fast food place,learning about computers making spreadsheet about CPUs setting up new computer,I changed my hair color to red I finished paying off one of my student loans Asked my best friend to be my maid of honor,0.3147575259208679,0.06238478422164917,0.1679055392742157,0.05909652262926102,0.28349101543426514,-0.01111537590622902
5e0d256753e8464d64940925,my daughters moved into an apartment in their college town I cleaned lots of extra stuff out of the house I learned exercises to help the pain in my back,blood donation shopping walking,helped my sister-in-law set up retirement fund watched Grey's Anatomy remotely with my daughter visited my sister and her family,celebrated Christmas at home  celebrated my 56th birthday at home celebrated the New Year at home,0.02255166880786419,0.265374094247818,0.10448089241981506,0.1486181616783142,0.03302307054400444,0.18083243072032928
5e206c982d3875371ce68220,Chipped a tooth Got into a car accident Bought a treadmill,I got a puppy. I voted for Biden. I saw my boss in person for the first time since April.,went for a ride a ways down the coast watched a show i have been meaning to had a social distance meet with friends on our deck,I found out my cousin and aunt had COVID. We got our stimulus checks I did a high paying hit on mTurk,0.0778915137052536,0.05484993755817413,0.2286679744720459,0.1239650547504425,0.25383418798446655,0.15350162982940674
5e0e32ee1d4607573dc85b1f,I finished my counseling practicum I've been seeing a new man  I started lifting weights,Celebrated Grandma's brithday Got COVID-19 and recovered Went to a bar for the first time this year,I drove to my mom's house in Texas I mentally conceded the election to Biden I worked my last day before Thanksgiving break,Watching the election Celebrating the holiday Welcoming the New Year,0.045027364045381546,0.16308072209358215,-0.034252215176820755,0.14175313711166382,0.26757198572158813,0.32834237813949585
5d9373b0e04970001ab482da,I harvested a ton of peaches and apricots from the trees in my yard. I went out for brunch with friends. I moderated a volunteer meeting at work.,Working from home Going to various doctor appointments Staying home,read a book watched TV went to the beach,Celebrated Christmas Celebrated New Years Celebrated Nephews Birthday,0.2016332894563675,0.333421915769577,0.033197224140167236,0.1741100251674652,0.012322470545768738,-0.0013304837048053741
5dcef23382a527033b089d39,Helping my daughter with her new LLC. Remediation of water damage in my home. My son-in-law finishing up his immigration requirements for his Green Card.,Visited with close family for the first time in months Worked on my Landscaping Doing more cooking and baking to reduce sugar consumption,I visited my family I went to dinner with my boyfriend I went grocery shopping,Work from home family over for Christmas New years out,0.3624628782272339,0.12038393318653107,0.22878366708755493,0.3919016122817993,0.38498446345329285,0.25262346863746643
59894fbbda239a0001fb8e16,I found a place on airbnb to vacation I went to my bank to get cash i visited a friend at her house,got epiretinal membrane in right eye installing windows 10 on new computer learning about windows 10,Walked at a park played online game helped clean in and outside of house,I got hired by two new companies I got a large bonus is incentive I started making more money,-0.10402318090200424,0.4106130003929138,0.19217519462108612,0.040362562984228134,0.08483583480119705,-0.00308128260076046
5dd40277e08a363e4e006384,I got sick My oldest son went to Tenn My car broke down,We were surrounded by wildfires and preparing to evacuate. An extended drought has diminished our well to the point that we have little water. The stress of the current political environment is unbearable.,I watched the fallout of the election. I watched my football team beat the Bengals. I saw the big announcement about the coronavirus vaccines being up to 95%+ effective.,celebrated christmas traveled to another town decorated the house,0.13130421936511993,0.19553488492965698,0.16689051687717438,0.223465234041214,0.06168076768517494,0.08385994285345078
5dfd077e3690bd03bfa91d48,hurricane work from home did yard work,stayed home because of pandemic bird watched on line worked online,Virtual meetings Jogging Raking leaves,getting one laptop by donation learning about motherboard soldering learning to calculate sunrise/sunset,0.4628753066062927,0.12115325778722763,0.1116509810090065,0.18891414999961853,0.12151086330413818,0.1098342090845108
5a1cddb4087f2e0001eafb99,Went to doctor Met someone Started medications,Participated in the democratic process by voting. Got tested for Covid-19. Made and was able to keep doctor's appointment for eye exam.,completed various home improvements enjoyed special family time had observation at work,Provided care for an elderly family member Worked more hours  repairing my truck for a hopeful springtime trip.,0.2744336724281311,0.10639554262161255,0.09068930149078369,0.22404533624649048,0.16216690838336945,0.5360205769538879
5e16200e9195c6c0ec0b0e92,Volunteering in COVID-19 vaccine trial Reduced working hours by choice Dog had leg surgery,went to the beach watched TV watch English Premier League,I voted in the 2020 elections. Attended a zoom birthday party. Took a short road trip vacation.,christmas with family new year with family bake christmas cookies,0.08728455007076263,0.1268860548734665,0.0946711003780365,0.22447477281093597,0.0956341102719307,0.10924698412418365
59296fb2e8a7ff000163f033,got drunk sprained my ankle went to the lake,gone to work ate at an outdoor restaurant walked the dog,Grocery shopping Video conference with lawyer Visited Mother in law at nursing home.,A co-worker got the coronavirus Had a severe stomachache which required an emergency room visit Worsening dental problem,0.294255793094635,0.06922728568315506,0.023582298308610916,0.17121931910514832,0.13053247332572937,0.1907132863998413
5e29e44fd7d15a000d1a548d,My fiance took 2 weeks of from work I won a raffle I threw a virtual party for my sister,I voted for biden harris repairs around the house biden harris rally,Work at location remodeled home areas spent time with daughter,Christmas New Years shopping,0.2641134262084961,0.15585598349571228,0.14231137931346893,0.15941128134727478,0.04358125478029251,0.0769425630569458
574ce0a57fd0ec000db73aa6,Made more money doing paid surveys Went out for errands with masks and social distancing Chose a different Medicare plan,Worked the election I got an iphone I saw my sister after 10 years,Walked every day Zoom B'day party with family Planted bulbs for spring,xmas work temporary move,0.25853869318962097,0.16202718019485474,0.09178981930017471,0.17049992084503174,0.11966273188591003,0.14350774884223938
5a21b2e1e473b80001baaa09,wife birthday stayed home wore mask,I moved from MA to FL I bought a new house I voted in the Presidential election,Work Watched two movies Sold some stuff on eBay to clear some things out,Paid 2020 taxes Renewed my license Started watching more anime,0.10409720987081528,0.0981980636715889,0.009392479434609413,0.09277445077896118,0.1084604412317276,0.2395741045475006
5d474d1fab2d280015bb0110,I purchased new glasses to wear. I hung up various artwork in my room. I started walking and exercising more since pre-pandemic. ,Volunteered to text voters Voted in 2020 election Helped a friend move,Flew to Texas from Washington. Visited relatives. Shopped for things to bring home.,x,0.0024474449455738068,0.17926301062107086,0.06445614993572235,0.1859157383441925,0.0812213271856308,0.05122514069080353
5cbe7fdb82218d00172aa4f3,I spend more time with my family I watch more Christian videos I pray more,declared blind in one eye seen a medical doctor look for employment,food shopping walked my dog read two books,went to Florida visited my mother sent Christmas with my daughter and grandchildren,0.02446574904024601,0.17155113816261292,0.273429811000824,0.14331907033920288,0.05569300055503845,0.2584947347640991
5e1e935be3c7191e0519b486,Our Dog died Helped my son move to Idaho ,hiking/walking biking voting,gone to church my sons birthday talked to my friends,Saw my future father in law Celebrated Christmas Started a new semester at school,0.1598195731639862,0.3038980960845947,0.1381727010011673,0.08681775629520416,-0.028753310441970825,0.38204604387283325
5d4c7ac3e8ec490018b0050d,participated in a virtual open mic attended virtual services with my synagogue spent time comforting a friend on the 10 year anniversary of his girlfriend's death,new phone new credit card crochet project,Wrote letters to state legislation Wrote to my state governor Hiked Pinnacle Peak mountain,sorry none sorry none sorry none,0.03637617826461792,0.05431683361530304,0.07272249460220337,0.005191666539758444,0.08485235273838043,-0.023523613810539246
5c0150326a0c6e00013c6068,we had a yard sale finally got to see a Podiatrist started using CPAP regular,Followed the Presidential Election Voted Watched Trump melt down on national TV,I added my first big connection on Linkedin. I rearranged my desk. I set up the Christmas tree.,biopsy for cancer bought gifts for teachers trip to oklahoma,0.00391734391450882,0.0790572240948677,0.2137698233127594,0.11633439362049103,0.049673717468976974,0.07277131825685501
59cc6c0246f7210001906b71,cleaned up around the house learning about real estate making better Leaflet maps,Voted Homeschooled child Went to birthday party,Did School Work Watched Movies Read,medical procedure medical tests inviting people over,0.1268434226512909,0.23740065097808838,-0.02618294581770897,0.21869558095932007,0.01690015010535717,0.040677525103092194
5ddef2e6929d5de6f1050f1c,We are looking for a new pastor. We have celebrated several birthdays. A daughter has had health issues,I was paid by a research marketing company to eat some food. I went to Jeju Sauna to relax. I rode my bicycle 30 miles.,I went to a professional meeting I went to chapter I went to class,Christmas dinner New Years Eve Party Blackbelt graduation for my son.,0.026514070108532906,0.03352467715740204,0.1720825731754303,0.282246857881546,0.2246183454990387,0.1653614342212677
561d98e03d7fe8000b0f5e09,bought a new chair went to the dentist got a car repair done,Voted in Presidential election. Hired out furnace repair. Had outside water pipes freeze.,voted Black Friday Shopping online learning with children,Participating in online studies Going out for essential errands Baking holiday treats,0.25738444924354553,0.09318269044160843,0.08531823754310608,0.1093694418668747,0.0025551635771989822,0.39927759766578674
59658491b9153e0001617465,starting sophomore year  ,voted shopped for groceries online swept a snake out of the house,yard work house cleaning my birthday celebration,celebrated christmas attended new year's eve party celebrated birthday,-0.07736623287200928,0.13014420866966248,0.11215271055698395,0.1979662925004959,0.0248686783015728,0.35162046551704407
5df81cd72713055bdf02efd8,Death of my grandfather I started working out at my gym again A friend in another state contracted COVID-19,I made 3 new close friends on Facebook A drunk driver hit me in my car.  I got a root canal.,Pre Black Friday sales Cooking Cleaning my home,attended online services worked on an e-blast for my synagogue started working on writing our annual Purim shpiel,0.25834235548973083,-0.04787798225879669,0.132494255900383,0.01389915868639946,0.14805835485458374,0.1910225749015808
5d0bc7dec89042000173c1fb,none none none,The election Made a decision to move to Florida Remained in Self Isolation due to COVID,Shopping for groceries Online working Reading more political news.,Christmas  Watched riots at Capitol  Bought new pencils,0.010513356886804104,0.03994310647249222,0.023134823888540268,0.09636442363262177,0.06825131922960281,0.22831201553344727
5dd9f0e719eecb97dfab7b48,Watched tv Homeschooled child Went shopping ,landscaped my yard cleaned my grill went surfing,Prepared a big dinner for my parents Put up fencing Put up christmas lights,nothing nothing nothing,0.14254789054393768,0.2531149387359619,0.04557755962014198,0.1866157203912735,0.15903332829475403,0.19669541716575623
5ddd92855daaa6d095854780,Started exercising more Stored food Harvested garden,Set 5k personal record Halloween trick-or-treating Got job offers,attended alt day for thanksgiving started trying for babies went to my moms,church got car emissions done went for a drive,0.10764889419078827,0.1736687421798706,0.1176500916481018,0.1749943345785141,0.0431864894926548,0.1366998851299286
5b15d20c444cef0001cb1153,Played a new game Learned new history Listened to new music,I have voted I went to a birthday party for a family member I watched the election night returns,caught a bad cold argued with my husband planned Thanksgiving dinner,planning for 3rd grandchild's birth planning for 1st grandchild's birthday  Christmas and New Year's events,0.06890161335468292,0.03888089209794998,0.12449993193149567,0.1983313113451004,0.1769225299358368,0.1275504231452942
5dd597c897405455982d1b0c,virtual learning short trip to Austin meeting with inlaw,Indoor dining Attended church services Wedding dress shopping,My aunt and 2 cousins became infected with Covid-19. Our well has run out of water repeatedly due to an extended drought. We unpacked our cars after not having to evacuate because of wildfires.,church funeral christmas party,0.18559980392456055,0.012930542230606079,0.11362287402153015,-0.05669470876455307,0.48407092690467834,0.030516112223267555
5bdc8d12b2fff7000189b6f8,Moved to new apartment Purchased area rug Finally unpacked everything,the election coronavirus life,Kept working Kept eating Still believe that Trump is my hero,WORKED ATE SHOPPED,0.021940171718597412,0.07217029482126236,0.25942113995552063,0.189285546541214,-0.034123316407203674,0.2959859371185303
5dd7052c7fb58b000eb7c09f,Praying Exercising Making donations to the needy.,Voting in the election  Helping my child with studying for his drive test Getting a new cat,I received my 4 year sobriety chip at Celebrate Recovery My counseling internship registration was approved by the state of Texas  I spoke to my possible biological father for the first time,Christmas dinner New Years eve party New years dinner,0.20163732767105103,0.13918748497962952,0.13794562220573425,0.18660861253738403,0.12471913546323776,0.144621342420578
5de5dba9ff87c15699804260,More wildfires have broken out in our area. My health has deteriorated. I'm producing some music with my cousin (remotely).,"I participated in a book parade with my students. I attended a virtual birthday party. My girlfriend, and I watched a virtual concert.",bought some new clothes went grocery shopping went out to dinner with my boyfriend.,Christmas New Years shingles vaccine,0.1930084526538849,0.05724073201417923,0.11758710443973541,0.38175928592681885,-0.017831064760684967,0.015678279101848602
5977e3867412f8000194e1fe,Completed a professional audit Went on a weekend trip with wife/daughter Cooked a large meal for a few friends,Avoiding people. Looking for new job. Stock Market,Seen family Invested money Worked from home,I got to spend 3 weeks with my daughters. We had a beautiful Christmas tree. We ate filet mignon instead of turkey or ham for Christmas.,0.08088158816099167,0.31062084436416626,0.29532891511917114,0.25846409797668457,0.06813061237335205,0.16028913855552673
5c3164e528d82100018160c8,Spending a large amout of time at home. Saving extra money. Watching extra television.,Delivered my completed mail in ballot to the local drop off box. Grocery shopping at Trader Joe's for the first time since the pandemic. Phone conversation with my father on my birthday,Rode my bicycle to McAlister's to buy club sandwiches. Received a text from my sister with a photo of her baby. Received the Ortlieb bike bags in the mail for my touring bicycle.,Went out of town to visit family for the holidays. Attended a virtual baby shower. Started last semester for Masters degree.,0.2657284140586853,0.06838741153478622,0.2646571099758148,0.41493499279022217,0.388477087020874,0.2244216650724411
56e6a66af6ed900006a5867c,Traveled with girlfriend Got health issued looked into Met girlfriends family,Did a focus study online cleaned inside of my patents house cleaned outside of my parents house,Maintained social distance outside Went for a grocery shopping Bought a fish tank,Babysitting  Watching tv Walking the dog,0.1838514804840088,0.33471840620040894,0.049290843307971954,0.26097366213798523,0.1541675627231598,0.22286637127399445
5dea5ba4446c901777bde897,I won a credit card dispute against a dealership which sold me a lemon car. I homeschooled my daughter five mornings each week. I began packing to move home next month.,voted visited family saw doctor,I flew home to PA I went to the orthondontist I went to orange theory,Watched Donald Trump incite a mob Coronavirus lockdown Donald Trump attacking election results,0.07159774005413055,0.2885096073150635,0.04695392772555351,0.22451984882354736,0.26872140169143677,0.039660029113292694
5dcf6d762e4a050ac2cba07d,BLM protest in my town Tried CBD for the first time Got a flu shot,Drove to Victorville Went to the Dr. Grocery shopping,I fell on the wet sidewalk going to the store. I rearranged my bedroom I bought a lot of canned goods on sale,Present (distant) relationship reached point of reckoning Stimulus payment arrived (distant) Friend tested positive for COVID,0.19373831152915955,0.18868716061115265,0.2133326530456543,0.3825993239879608,0.15679338574409485,0.029866354539990425
59c0782e5364260001dc4740,can not travel to visit family death of family members corona virus cases going up and down,Started to eat less food for health reasons Started commenting with my new social media account Went walking early in the morning for the first time,helping clean house crochet project for store buying yarn,Had Christmas at home Watched live tennis  Shopped,0.056611645966768265,0.025402499362826347,0.12207646667957306,-0.03178422152996063,0.08526921272277832,0.14721974730491638
56e70a4cc89073000de74a5f,Got a new lift chair  got a new walker  bought a new computer ,Did indoor skydiving at iFly Played golf Went to a friends 40th birthday party,Fell out of the upper level in my work status. Did a couple of major grocery shopping trips to stock before the holidays. Took my partner to get the oil changed in his truck.,Husband's birthday Christmas had bad case of shingles,0.1527205854654312,0.16781482100486755,0.08862343430519104,0.09302873909473419,0.10189532488584518,0.08885960280895233
5deaf334789cb321c7f002c2,Got new glasses Started shopping for new tires Cleaned up my desk,US presidential election Buying groceries Paying bills,moved back into my condo got groceries delivered  made a bonus at work,moved celebrated christmas celebrated new year's,0.15243732929229736,0.298113614320755,0.1340235322713852,0.4136928915977478,0.0884295254945755,0.21963900327682495
55c43918fdf99b080551e044,Started earning more money Learned to stop dwelling on the past or worrying about the future so much Built a bunch of technical things in Minecraft and started to understand Redstone,Voting in the election Visiting the dentist for an emergency Attending a wedding,"I had a Physical Therapy appointment and used traction machine for my back which I have never done.  I helped the local Animal Welfare Society in getting local strays taken to the vet for medical needs, as well as spay/neuter. I had fallen and went to the Dr. when my right leg was hurting from the thigh, down the side of the leg.",Bought Christmas tree with family Prayed in the New Year at 11:59 Dec 31 Attempted to purchase PlayStation 5 and was delayed by scalpers,-0.11972035467624664,0.06591489911079407,0.13500742614269257,0.06182161718606949,0.07135850191116333,0.06776631623506546
5e164e81502213c397f0cf39,Fell on and injured my hands because they somehow hit the floor faster than my ass did Took a really big dump and became really tired Got high from spicy snacks (just ghost pepper flavoring),walking 1 mile at least 4 days a week voted,Dinner with friends Zoom conference Visit to the doctor,watched neighborhood fireworks on New Years Eve friend came over to visit went bike riding,0.13421685993671417,0.2101593017578125,0.18632185459136963,0.10726547986268997,0.11434086412191391,0.25064635276794434
5b233660648d5b0001b7de87,My nephews birthday A new cable company service harvested vegetables,Black Lives Matter Protest Dropped a class that was giving me trouble A roommate of mine had the virus,i put an offer on a house i had my birthday  i reconciled with my sister,Christmas zoom party Neighborhood golf cart Christmas parade Grandson's virtual Birthday party,0.15582561492919922,0.1737569123506546,0.35083019733428955,0.14936231076717377,0.030325274914503098,0.0988134816288948
5be76e0505e5cd00017a1f8e,I finished a book. I harvested my garden. I visited my grandson.,volunteered at a food pantry went grocery shopping had annual physical,went out to eat daughter visited home repairs,House cleaning Cooking Grocery Shopping,0.32525336742401123,0.3557756543159485,0.19648748636245728,0.37722697854042053,0.47943300008773804,0.2922608256340027
